,K1,K2,Grey K1,Req. Dt,Derived From SO NO,Segment,Customer,Gry EDOD,Gry REDOD,Line Creation Dt.,DocNo.,Line No,Sch P/I Dt,Order Qty,Plan I/p Dt,SO No,SO Line no,SubSegment,K3,K4,K5,K6,Shade,Dely Dt1,Dely Dt,Lot Qty,Disp Planned,Bal to exe,Plan Qty,PPC Remark,LabRef.No,Peach Std.,Repeat Cops,Tech Remark,Final Dispo Comment,Marketing Comment,Exec. Closed,LabRef Check,KE Desc,Std Rec Dt,PP Comment,F370R001 Stock,F370B001 Stock,F380B001 Stock,F380B101 Stock,F350B001 Stock,F350B101 Stock,Baddi Stk,F400B001 Stock,F400B101 Stock,F340R001 Stock,Budhni Stk,Pref Factory,YD/PD,Factory,Grey Stock
0,13000426,BDDDVJ,13000424BDDDVJ,16/08/2021,,DE&B,TARGET USA,19/11/2021,19/11/2021,16/08/2021,BLM75_M75-21000100,80,20/11/2021,0,,,,TARGET,CT-PF,STDAWTD000,,,,,,0,,"91,440","91,440",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"57,548",0,-441,"57,106",22,PD,Budhni,213835.5
1,11600069,BDCKDJW,11600069BDCKDW4,5/6/2021,,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),1/1/3000,1/1/3000,5/6/2021,BLM75_M75-21000071,10,1/1/3000,0,,,,VF(Vans),SCP-SF,RPT0000000,,,,,,0,,"1,535","1,535",,,,,"OK,PLAN ON RAPIER LOOM",,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"1,303",0,302,"1,605",22,PD,Budhni,1593.0
2,120H99,BDOKJ,120H99BDOKD,5/6/2021,M75_M75-21000076/10,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),1/1/3000,1/1/3000,5/6/2021,BLM75_M75-21000076,10,1/1/3000,0,,,,VF(Vans),ST-SF,RPT0000000,,,,,,0,,468,468,,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,128,0,-70,58,22,PD,Budhni,128.38
3,13257,BDDKO,13257BDDKDO,3/5/2021,M75_M75-21000033/10,RMGE,CELEBRITY FASHIONS LTD,1/1/3000,1/10/2021,3/5/2021,BLM75_M75-21000033,10,15/10/2021,0,,,,VF(Timberland),ST-PST,RPT0000000,,,,,,0,,"6,572","6,572",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"29,267","7,138",-126,"36,279",22,RD,Budhni,115881.71
4,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,1/1/3000,17/04/2021,BLM75_M75-21000009,10,1/1/3000,0,,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"293,141","293,141",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
5,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,1/1/3000,17/04/2021,BLM75_M75-21000009,10,1/1/3000,0,,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"293,141","293,141",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
6,A109A001,BDKK,A109A001BDKK,22/02/2021,M75_M75-20000067/30,RMGE,GOKALDAS EXPORTS LTD,1/8/2021,16/09/2021,22/02/2021,BLM75_M75-20000067,30,1/11/2021,0,,,,CARHARTT,CT-CH1,RPT0000000,,,,,,0,,"18,278","18,278",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"63,615","8,956",-71,"72,500",22,PD,Budhni,144389.94
7,A132A415,BAMCJ,A132A415BDMCD,17/04/2021,,GAP,REFAT GARMENTS LTD,,,31/08/2021,BLM75_M75-21000007,121,,0,,,,BANANA REPUBLIC FACTORY STORES,ST-XF,BRKUPAWTD0,,,,,,0,,"12,048","12,048",,,,,,,,Unchecked,,,1/1/1900,,-922,0,0,0,0,0,-922,"36,760",790,0,"37,550",21,PD,Baddi,1172.23
8,A132A415,BAMCJ,A132A415BDMCD,17/04/2021,,GAP,REFAT GARMENTS LTD,,,31/08/2021,BLM75_M75-21000007,121,,0,,,,BANANA REPUBLIC FACTORY STORES,ST-XF,BRKUPAWTD0,,,,,,0,,"12,048","12,048",,,,,,,,Unchecked,,,1/1/1900,,-922,0,0,0,0,0,-922,"36,760",790,0,"37,550",21,PD,Budhni,57314.13
9,A240A325,BDEKW4J,A240A325BDEKDW4,15/07/2021,M75_M75-21000006/91,GAP,REFAT GARMENTS LTD,1/1/3000,1/1/3000,15/07/2021,BLM75_M75-21000006,91,1/1/3000,0,,,,BANANA REPUBLIC FACTORY STORES,ST-PF,BRKUPAWTD0,,,,,,0,,"24,780","24,780",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"9,241","1,214",-1,"10,454",22,PD,Budhni,22108.89
